distance,cab_type,time_stamp,destination,source,price,surge_multiplier,id,product_id,name,date,month,hour,dayofweek,weekend,rush_hour,cab_freq,cab_type_mean
1.08,Lyft,1543594383882,Northeastern University,Back Bay,13.5,1.0,9043bf77-1d45-4a93-9520-a083e0277f16,lyft_premier,Lux,2018-11-30 16:13:03.882,11,16,4,0,1,0.49561070770564647,16.91635687732342
1.08,Lyft,1543432987778,Northeastern University,Back Bay,7.0,1.0,d859ec69-b3ff-4af8-9abd-441e31430c94,lyft,Lyft,2018-11-28 19:23:07.778,11,19,2,0,0,0.49561070770564647,16.91635687732342
1.11,Uber,1543615981179,West End,North End,12.0,1.0,009e9c53-074d-43cf-aef2-0fbc7a47ed3d,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-30 22:13:01.179,11,22,4,0,0,0.5043892922943535,15.743446497636441
1.11,Uber,1544698211014,West End,North End,16.0,1.0,23f145da-f0c1-4d1f-a184-496bc003a7db,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-12-13 10:50:11.014,12,10,3,0,0,0.5043892922943535,15.743446497636441
1.11,Uber,1544728503935,West End,North End,7.5,1.0,357559cb-8c58-4278-a41a-e33b2e0997a3,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-12-13 19:15:03.935,12,19,3,0,0,0.5043892922943535,15.743446497636441
1.11,Uber,1545004511430,West End,North End,7.5,1.0,50ef1165-9d23-416c-a65c-18906207b295,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-12-16 23:55:11.430,12,23,6,1,0,0.5043892922943535,15.743446497636441
1.11,Uber,1544748007961,West End,North End,26.0,1.0,91c4861c-1780-42b0-bca1-bbd64a422cc3,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-12-14 00:40:07.961,12,0,4,0,0,0.5043892922943535,15.743446497636441
1.11,Uber,1543519080802,West End,North End,5.5,1.0,e219e545-a006-4936-a6cc-7d00adf0e418,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-29 19:18:00.802,11,19,3,0,0,0.5043892922943535,15.743446497636441
0.72,Lyft,1544940911553,Haymarket Square,North Station,11.0,1.0,18d580ac-c91a-4b6d-aa75-ab62566f713e,lyft_plus,Lyft XL,2018-12-16 06:15:11.553,12,6,6,1,0,0.49561070770564647,16.91635687732342
0.72,Lyft,1543346302541,Haymarket Square,North Station,16.5,1.0,3ef5c509-f292-42ef-b39c-bce7059006a0,lyft_lux,Lux Black,2018-11-27 19:18:22.541,11,19,1,0,0,0.49561070770564647,16.91635687732342
0.72,Lyft,1545132905654,Haymarket Square,North Station,7.0,1.0,5ef44fdf-c5d3-4d07-967a-a8710e537e74,lyft,Lyft,2018-12-18 11:35:05.654,12,11,1,0,0,0.49561070770564647,16.91635687732342
0.72,Lyft,1543544884042,Haymarket Square,North Station,3.5,1.0,a7c1afce-9781-41c9-b6a6-df109ad43ccd,lyft_line,Shared,2018-11-30 02:28:04.042,11,2,4,0,0,0.49561070770564647,16.91635687732342
0.72,Lyft,1544978406463,Haymarket Square,North Station,26.0,1.0,d0782aae-4cfa-45df-b6e4-e300b09c2563,lyft_luxsuv,Lux Black XL,2018-12-16 16:40:06.463,12,16,6,1,0,0.49561070770564647,16.91635687732342
0.72,Lyft,1543218371798,Haymarket Square,North Station,13.5,1.0,f4f03d2d-434b-41f3-935a-c29e3f2de8bd,lyft_premier,Lux,2018-11-26 07:46:11.798,11,7,0,0,1,0.49561070770564647,16.91635687732342
2.48,Uber,1545079209832,South Station,Beacon Hill,8.5,1.0,1d451059-895c-4179-8cec-40adfbc4f6d3,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-12-17 20:40:09.832,12,20,0,0,0,0.5043892922943535,15.743446497636441
2.48,Uber,1544931613778,South Station,Beacon Hill,15.0,1.0,1f64fcff-b01f-4b64-90f4-5c866d717317,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-12-16 03:40:13.778,12,3,6,1,0,0.5043892922943535,15.743446497636441
2.48,Uber,1543324882052,South Station,Beacon Hill,20.5,1.0,2ca4699c-21e1-4fb4-9cc2-1d6221199d08,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-27 13:21:22.052,11,13,1,0,0,0.5043892922943535,15.743446497636441
2.48,Uber,1544697611531,South Station,Beacon Hill,8.5,1.0,4149295f-4534-4712-b2cf-160308528c75,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-12-13 10:40:11.531,12,10,3,0,0,0.5043892922943535,15.743446497636441
2.48,Uber,1545085512519,South Station,Beacon Hill,7.0,1.0,80d2a972-2686-4edc-bc22-ddccdf211fde,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-12-17 22:25:12.519,12,22,0,0,0,0.5043892922943535,15.743446497636441
2.48,Uber,1544817908118,South Station,Beacon Hill,27.5,1.0,8674e79f-4c5b-4a2e-8327-a68997d5d740,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-12-14 20:05:08.118,12,20,4,0,0,0.5043892922943535,15.743446497636441
3.24,Lyft,1543289422292,Northeastern University,North Station,3.5,1.0,00dd58fc-fa9e-4eeb-bb6e-dfeb94611e85,lyft_line,Shared,2018-11-27 03:30:22.292,11,3,1,0,0,0.49561070770564647,16.91635687732342
3.24,Lyft,1543774987499,Northeastern University,North Station,11.0,1.0,174b960d-58f1-4dfd-8672-8b43f13726a7,lyft,Lyft,2018-12-02 18:23:07.499,12,18,6,1,0,0.49561070770564647,16.91635687732342
3.24,Lyft,1544816705598,Northeastern University,North Station,19.5,1.0,1d34b421-4ee7-4ec5-bba5-265f43b91a4e,lyft_premier,Lux,2018-12-14 19:45:05.598,12,19,4,0,0,0.49561070770564647,16.91635687732342
3.24,Lyft,1543743182105,Northeastern University,North Station,26.0,1.0,72fb8672-a823-447e-ae15-fd51aef9db66,lyft_lux,Lux Black,2018-12-02 09:33:02.105,12,9,6,1,0,0.49561070770564647,16.91635687732342
3.24,Lyft,1544747410816,Northeastern University,North Station,16.5,1.0,e61386a3-b205-49b4-b064-990b124ecfa2,lyft_plus,Lyft XL,2018-12-14 00:30:10.816,12,0,4,0,0,0.49561070770564647,16.91635687732342
2.94,Uber,1543638777654,Fenway,North Station,29.5,1.0,39f120bf-ddc0-4d27-8ab4-bb7d46ecf8e3,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-12-01 04:32:57.654,12,4,5,1,0,0.5043892922943535,15.743446497636441
2.94,Uber,1543414987719,Fenway,North Station,9.5,1.0,4d36b792-8973-4dd2-aaf9-aacaac046bd5,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28 14:23:07.719,11,14,2,0,0,0.5043892922943535,15.743446497636441
2.94,Uber,1543739576844,Fenway,North Station,15.0,1.0,53bc8bc7-0b27-4648-9742-d7956d2a13a8,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-12-02 08:32:56.844,12,8,6,1,0,0.5043892922943535,15.743446497636441
2.94,Uber,1544789105468,Fenway,North Station,9.5,1.0,c05d4e09-3f00-43cf-a0d8-6f38c0f4d04a,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-12-14 12:05:05.468,12,12,4,0,0,0.5043892922943535,15.743446497636441
2.94,Uber,1543286002090,Fenway,North Station,22.0,1.0,c7d4bb19-3c35-46c7-ad3c-f00a03ccfdfe,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-27 02:33:22.090,11,2,1,0,0,0.5043892922943535,15.743446497636441
2.94,Uber,1544856310163,Fenway,North Station,9.0,1.0,d25c46f2-b8a3-454d-97d1-4e2c8e1dff68,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-12-15 06:45:10.163,12,6,5,1,0,0.5043892922943535,15.743446497636441
1.76,Lyft,1543400227398,South Station,North Station,5.0,1.0,0c26c153-a58d-419d-b557-37cfad67585c,lyft_line,Shared,2018-11-28 10:17:07.398,11,10,2,0,0,0.49561070770564647,16.91635687732342
1.76,Lyft,1544963414097,South Station,North Station,9.0,1.0,104ced5c-1c1b-4021-94bb-b21af453399a,lyft,Lyft,2018-12-16 12:30:14.097,12,12,6,1,0,0.49561070770564647,16.91635687732342
1.76,Lyft,1544920811287,South Station,North Station,16.5,1.0,1cf8a0a5-d871-41ba-91c7-53658851501e,lyft_premier,Lux,2018-12-16 00:40:11.287,12,0,6,1,0,0.49561070770564647,16.91635687732342
1.76,Lyft,1544883309320,South Station,North Station,26.0,1.0,5e990c7a-8f5c-4583-812c-b6200dd018f6,lyft_luxsuv,Lux Black XL,2018-12-15 14:15:09.320,12,14,5,1,0,0.49561070770564647,16.91635687732342
1.76,Lyft,1543312822029,South Station,North Station,13.5,1.0,bd1d5b1a-ed7f-4fc8-8fd1-9236a5de403e,lyft_plus,Lyft XL,2018-11-27 10:00:22.029,11,10,1,0,0,0.49561070770564647,16.91635687732342
1.76,Lyft,1543421288000,South Station,North Station,19.5,1.0,c7a2284b-2f7b-49a8-8d5b-90e1ebe18a1f,lyft_lux,Lux Black,2018-11-28 16:08:08.000,11,16,2,0,1,0.49561070770564647,16.91635687732342
0.71,Lyft,1543666982457,West End,Haymarket Square,7.0,1.0,2e0059db-945e-4615-9f87-46b8966d62f2,lyft,Lyft,2018-12-01 12:23:02.457,12,12,5,1,0,0.49561070770564647,16.91635687732342
0.71,Lyft,1543243090567,West End,Haymarket Square,9.0,1.0,77667337-1484-497d-a0d2-2844126c2517,lyft_plus,Lyft XL,2018-11-26 14:38:10.567,11,14,0,0,0,0.49561070770564647,16.91635687732342
0.71,Lyft,1543718284659,West End,Haymarket Square,10.5,1.0,c03b25ba-1d74-4522-8f3b-feb4bebcb4c7,lyft_premier,Lux,2018-12-02 02:38:04.659,12,2,6,1,0,0.49561070770564647,16.91635687732342
0.71,Lyft,1543514583808,West End,Haymarket Square,3.0,1.0,fa00bcf3-78f7-4b62-b133-c3190a85edab,lyft_line,Shared,2018-11-29 18:03:03.808,11,18,3,0,1,0.49561070770564647,16.91635687732342
1.23,Lyft,1543823577493,Theatre District,Haymarket Square,5.0,1.0,33d90ba7-60f5-4da1-afc3-39d4d038f7ec,lyft_line,Shared,2018-12-03 07:52:57.493,12,7,0,0,1,0.49561070770564647,16.91635687732342
1.23,Lyft,1543236069468,Theatre District,Haymarket Square,13.5,1.0,6c936f6d-c587-49ae-bb39-5aeb54eff756,lyft_premier,Lux,2018-11-26 12:41:09.468,11,12,0,0,0,0.49561070770564647,16.91635687732342
1.23,Lyft,1543807082043,Theatre District,Haymarket Square,11.0,1.0,8b905a5a-c626-42a6-b23b-eae7c7b689a3,lyft_plus,Lyft XL,2018-12-03 03:18:02.043,12,3,0,0,0,0.49561070770564647,16.91635687732342
1.23,Lyft,1543446220644,Theatre District,Haymarket Square,26.0,1.0,c8c093f0-960b-4668-b1f6-1e42dcf6bd6b,lyft_luxsuv,Lux Black XL,2018-11-28 23:03:40.644,11,23,2,0,0,0.49561070770564647,16.91635687732342
1.23,Lyft,1543282941895,Theatre District,Haymarket Square,16.5,1.0,ee029d73-c9ad-463d-a15e-ba20fac8c292,lyft_lux,Lux Black,2018-11-27 01:42:21.895,11,1,1,0,0,0.49561070770564647,16.91635687732342
1.23,Lyft,1543852985839,Theatre District,Haymarket Square,7.0,1.0,f76a05b7-60a7-4df5-94b9-de16881691ca,lyft,Lyft,2018-12-03 16:03:05.839,12,16,0,0,1,0.49561070770564647,16.91635687732342
1.16,Uber,1544688606983,West End,North End,9.5,1.0,5e1deff9-8f75-4e77-a1b1-7f6749e4eed3,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-12-13 08:10:06.983,12,8,3,0,1,0.5043892922943535,15.743446497636441
1.16,Uber,1543445408141,West End,North End,16.5,1.0,a6d2d9af-e412-4ec0-8206-88e272b5a14e,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-28 22:50:08.141,11,22,2,0,0,0.5043892922943535,15.743446497636441
1.16,Uber,1544859906968,West End,North End,7.0,1.0,c53e48e4-a7b6-43e9-b4f4-afadc78dc2aa,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-12-15 07:45:06.968,12,7,5,1,0,0.5043892922943535,15.743446497636441
1.16,Uber,1543325422263,West End,North End,9.5,1.0,c9dee6ef-eca0-43ba-9bf9-ec00a6638164,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-27 13:30:22.263,11,13,1,0,0,0.5043892922943535,15.743446497636441
1.16,Uber,1543428487883,West End,North End,27.5,1.0,e209499c-d217-4ea8-b72a-8a879646b29a,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28 18:08:07.883,11,18,2,0,1,0.5043892922943535,15.743446497636441
1.16,Uber,1543474677639,West End,North End,13.0,1.0,fc3205bd-3419-40db-b00f-ddced9beff33,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-29 06:57:57.639,11,6,3,0,1,0.5043892922943535,15.743446497636441
2.67,Uber,1545130211033,Beacon Hill,North End,9.5,1.0,26cd4b22-179f-48db-a03f-2cc8c87d624e,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-12-18 10:50:11.033,12,10,1,0,0,0.5043892922943535,15.743446497636441
2.67,Uber,1543286541956,Beacon Hill,North End,9.5,1.0,5ed9f6ab-4582-45c6-a1de-5602e911c3bb,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-27 02:42:21.956,11,2,1,0,0,0.5043892922943535,15.743446497636441
1.16,Lyft,1543831981297,Beacon Hill,Haymarket Square,7.0,1.0,09740fbe-a03b-48df-a25a-6a01d4fc30e7,lyft,Lyft,2018-12-03 10:13:01.297,12,10,0,0,0,0.49561070770564647,16.91635687732342
1.16,Lyft,1543820582501,Beacon Hill,Haymarket Square,13.5,1.0,2ff1a200-7c68-4813-9141-af7eeb93b37d,lyft_plus,Lyft XL,2018-12-03 07:03:02.501,12,7,0,0,1,0.49561070770564647,16.91635687732342
1.16,Lyft,1543603386099,Beacon Hill,Haymarket Square,26.0,1.0,395294c8-4b2b-4cde-aaf9-3ac478cfddc3,lyft_luxsuv,Lux Black XL,2018-11-30 18:43:06.099,11,18,4,0,1,0.49561070770564647,16.91635687732342
1.16,Lyft,1543786383705,Beacon Hill,Haymarket Square,13.5,1.0,59481bfd-d72d-4d6d-af73-8006fc872948,lyft_premier,Lux,2018-12-02 21:33:03.705,12,21,6,1,0,0.49561070770564647,16.91635687732342
1.16,Lyft,1545036606996,Beacon Hill,Haymarket Square,5.0,1.0,aa1f01a1-f54a-4978-b266-a14f877baad1,lyft_line,Shared,2018-12-17 08:50:06.996,12,8,0,0,1,0.49561070770564647,16.91635687732342
1.16,Lyft,1543410387439,Beacon Hill,Haymarket Square,16.5,1.0,b4d6e3a6-8fce-4863-9674-e3abb49c53db,lyft_lux,Lux Black,2018-11-28 13:06:27.439,11,13,2,0,0,0.49561070770564647,16.91635687732342
3.39,Uber,1543784280319,North Station,Boston University,9.5,1.0,0617e9b6-45f9-4f45-aa2b-5d06da008088,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-12-02 20:58:00.319,12,20,6,1,0,0.5043892922943535,15.743446497636441
3.39,Uber,1544879104960,North Station,Boston University,9.5,1.0,37b99b0e-d2a9-4aa6-b145-54de1c8793eb,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-12-15 13:05:04.960,12,13,5,1,0,0.5043892922943535,15.743446497636441
3.39,Uber,1543478885039,North Station,Boston University,17.0,1.0,433900c1-12d0-4771-85ea-1e1f1a4a6d63,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-29 08:08:05.039,11,8,3,0,1,0.5043892922943535,15.743446497636441
3.39,Uber,1543360883633,North Station,Boston University,10.0,1.0,76ec209b-45a1-47e7-9eda-bc3a22402b8e,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-27 23:21:23.633,11,23,1,0,0,0.5043892922943535,15.743446497636441
3.39,Uber,1545002712654,North Station,Boston University,34.0,1.0,a841f68a-a00f-456a-a3f2-2a4f2f2917d6,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-12-16 23:25:12.654,12,23,6,1,0,0.5043892922943535,15.743446497636441
3.39,Uber,1544703016070,North Station,Boston University,26.0,1.0,aaf17c52-066b-4449-abac-274132b8ffbf,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-12-13 12:10:16.070,12,12,3,0,0,0.5043892922943535,15.743446497636441
3.39,Uber,1545081006772,North Station,Boston University,18.5,1.0,2effa2c2-6728-4274-b904-199a9fc830c4,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-12-17 21:10:06.772,12,21,0,0,0,0.5043892922943535,15.743446497636441
3.39,Uber,1543542780768,North Station,Boston University,11.0,1.0,5ef55ad4-49da-4698-8d41-21f89d107085,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-30 01:53:00.768,11,1,4,0,0,0.5043892922943535,15.743446497636441
3.39,Uber,1543588980832,North Station,Boston University,11.0,1.0,67f791f9-5bf4-4490-9358-95ffda17e5ea,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-30 14:43:00.832,11,14,4,0,0,0.5043892922943535,15.743446497636441
3.39,Uber,1544832605200,North Station,Boston University,11.0,1.0,806fc0cf-814d-48aa-abe7-47d0eedf47d4,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-12-15 00:10:05.200,12,0,5,1,0,0.5043892922943535,15.743446497636441
3.39,Uber,1543532587413,North Station,Boston University,36.0,1.0,bcb04ae7-e199-495f-a22e-4f24dcf9088c,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-29 23:03:07.413,11,23,3,0,0,0.5043892922943535,15.743446497636441
3.39,Uber,1545036611905,North Station,Boston University,27.5,1.0,ef16279b-5893-4ea1-bf62-0548a6a541e7,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-12-17 08:50:11.905,12,8,0,0,1,0.5043892922943535,15.743446497636441
2.82,Lyft,1543542476058,West End,Fenway,22.5,1.0,60f7fd10-aa55-42a8-9b19-2f8bb457459b,lyft_lux,Lux Black,2018-11-30 01:47:56.058,11,1,4,0,0,0.49561070770564647,16.91635687732342
2.82,Lyft,1545134405195,West End,Fenway,16.5,1.0,7827cd75-7987-4f1b-a012-ab92c820c6c4,lyft_plus,Lyft XL,2018-12-18 12:00:05.195,12,12,1,0,0,0.49561070770564647,16.91635687732342
2.82,Lyft,1543398374702,West End,Fenway,10.5,1.0,ea5d697f-425a-421c-a680-20bc8b36384e,lyft,Lyft,2018-11-28 09:46:14.702,11,9,2,0,1,0.49561070770564647,16.91635687732342
2.82,Lyft,1543280961891,West End,Fenway,32.5,1.0,fbe5b6f4-7771-4fed-93d9-350febdc20c2,lyft_luxsuv,Lux Black XL,2018-11-27 01:09:21.891,11,1,1,0,0,0.49561070770564647,16.91635687732342
2.82,Lyft,1544982903563,West End,Fenway,19.5,1.0,fbe75666-8d95-404f-a2d2-56c1f94eb99a,lyft_premier,Lux,2018-12-16 17:55:03.563,12,17,6,1,0,0.49561070770564647,16.91635687732342
2.82,Lyft,1544685910496,West End,Fenway,7.0,1.0,ff49381b-9947-4a40-b100-ca58020e0dbe,lyft_line,Shared,2018-12-13 07:25:10.496,12,7,3,0,1,0.49561070770564647,16.91635687732342
2.49,Uber,1544812509357,Back Bay,South Station,25.0,1.0,118a8165-c787-4761-89e5-a17aa5710c75,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-12-14 18:35:09.357,12,18,4,0,1,0.5043892922943535,15.743446497636441
2.49,Uber,1544952912418,Back Bay,South Station,12.0,1.0,14fd1233-8cea-4061-a66a-9a5ecec07f66,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-12-16 09:35:12.418,12,9,6,1,0,0.5043892922943535,15.743446497636441
2.49,Uber,1545102903559,Back Bay,South Station,12.0,1.0,2a98223c-db41-4d28-9f8a-f26775b12fd4,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-12-18 03:15:03.559,12,3,1,0,0,0.5043892922943535,15.743446497636441
2.49,Uber,1543440907964,Back Bay,South Station,18.5,1.0,3a2929f1-2310-4c96-8eeb-ca2ed3ad9915,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28 21:35:07.964,11,21,2,0,0,0.5043892922943535,15.743446497636441
2.49,Uber,1543321642195,Back Bay,South Station,32.5,1.0,c1463da2-43e9-4e83-a52f-eb4fbe9d85e6,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-27 12:27:22.195,11,12,1,0,0,0.5043892922943535,15.743446497636441
2.49,Uber,1543860176100,Back Bay,South Station,11.0,1.0,e5face72-4e1e-499e-89db-6a136e11f7f5,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-12-03 18:02:56.100,12,18,0,0,1,0.5043892922943535,15.743446497636441
3.07,Uber,1543658284716,North Station,Fenway,27.0,1.0,08a28a48-eec5-43f8-b81d-bc2f57fc7f9a,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-12-01 09:58:04.716,12,9,5,1,0,0.5043892922943535,15.743446497636441
3.07,Uber,1543458860117,North Station,Fenway,12.0,1.0,1f384d44-39fa-4537-b6a9-e97c0420fc48,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-29 02:34:20.117,11,2,3,0,0,0.5043892922943535,15.743446497636441
3.07,Uber,1543824176271,North Station,Fenway,18.5,1.0,408076ed-a826-4fb3-a602-f9940df0ae50,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-12-03 08:02:56.271,12,8,0,0,1,0.5043892922943535,15.743446497636441
3.07,Uber,1543883878694,North Station,Fenway,12.0,1.0,6fad93ae-e127-4e63-92e8-aca70075a4ae,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-12-04 00:37:58.694,12,0,1,0,0,0.5043892922943535,15.743446497636441
3.07,Uber,1545126008048,North Station,Fenway,8.5,1.0,c8e81408-c663-41b0-97d8-01de32dddefd,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-12-18 09:40:08.048,12,9,1,0,1,0.5043892922943535,15.743446497636441
3.07,Uber,1544841003919,North Station,Fenway,35.0,1.0,f5f46cb2-dc51-4ed7-bd0e-14469d2da879,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-12-15 02:30:03.919,12,2,5,1,0,0.5043892922943535,15.743446497636441
1.57,Uber,1543243809625,North End,Theatre District,8.0,1.0,8cfbdbf9-4aa0-453b-ae4e-2fd9b4a90ffa,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-26 14:50:09.625,11,14,0,0,0,0.5043892922943535,15.743446497636441
1.57,Uber,1544409662798,North End,Theatre District,13.0,1.0,a385d39d-6add-45e7-8144-d208173f5528,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-12-10 02:41:02.798,12,2,0,0,0,0.5043892922943535,15.743446497636441
1.57,Uber,1543734183117,North End,Theatre District,8.0,1.0,a9448a0b-977b-47c4-b886-b9ff39e6983c,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-12-02 07:03:03.117,12,7,6,1,0,0.5043892922943535,15.743446497636441
1.57,Uber,1543873079177,North End,Theatre District,27.0,1.0,ae1e0b34-e9aa-4d7f-9b5f-228d966cb911,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-12-03 21:37:59.177,12,21,0,0,0,0.5043892922943535,15.743446497636441
1.57,Uber,1543805278271,North End,Theatre District,17.0,1.0,ca00c0ed-bc14-4558-af18-5be6001f14e2,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-12-03 02:47:58.271,12,2,0,0,0,0.5043892922943535,15.743446497636441
1.57,Uber,1544682006887,North End,Theatre District,8.0,1.0,ff9d06a6-3ac8-4692-b154-1fd97fb0ac93,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-12-13 06:20:06.887,12,6,3,0,1,0.5043892922943535,15.743446497636441
3.2,Uber,1543777077631,Northeastern University,West End,13.5,1.0,00dc269c-2990-402b-b834-9fe0cede0bae,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-12-02 18:57:57.631,12,18,6,1,0,0.5043892922943535,15.743446497636441
3.2,Uber,1544730311763,Northeastern University,West End,23.5,1.0,17fc2426-4a0c-4305-bc55-a2d4e08417da,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-12-13 19:45:11.763,12,19,3,0,0,0.5043892922943535,15.743446497636441
3.2,Uber,1543655883575,Northeastern University,West End,14.0,1.0,68589ddd-984f-4cda-adce-b69ed39695d8,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-12-01 09:18:03.575,12,9,5,1,0,0.5043892922943535,15.743446497636441
